,symbol,name,price,exchange
180,BOX,Box Inc,22.09,New York Stock Exchange
181,OXY,Occidental Petroleum Corp,26.1,New York Stock Exchange
182,CVE,Cenovus Energy Inc,7.89,New York Stock Exchange
183,SYF,Synchrony Financial,43.03,New York Stock Exchange
184,IAU,ishares Gold Trust,16.97,New York Stock Exchange Arca
185,MTG,MGIC Investment Corp,15.44,New York Stock Exchange
186,LUV,Southwest Airlines Co,61.77,New York Stock Exchange
187,FTI,TechnipFMC PLC,7.91,New York Stock Exchange
188,AA,Alcoa Corp,36.49,New York Stock Exchange
189,ABEV,Ambev S.A. American Depositary Shares (Each representing 1),2.85,New York Stock Exchange
190,VTI,Vanguard Total Stock Market,217.87,New York Stock Exchange Arca
191,EQR,Equity Residential,73.63,New York Stock Exchange
192,EWG,iShares MSCI Germany Index Fund,35.3,New York Stock Exchange Arca
193,ETSY,ETSY Inc,211.35,Nasdaq Global Select
194,TAL,TAL Education Group,62.26,New York Stock Exchange
195,UNH,UnitedHealth Group Inc,394.59,New York Stock Exchange
196,GES,Guess Inc,27.85,New York Stock Exchange
197,AMZN,Amazon.com Inc,3458.5,Nasdaq Global Select
198,NFLX,Netflix Inc,506.52,Nasdaq Global Select
199,ENTG,Entegris Inc,114.79,Nasdaq Global Select
200,CSX,CSX Corp,101.5,Nasdaq Global Select
201,WYNN,Wynn Resorts Ltd,130.27,Nasdaq Global Select
202,FOX,Twenty-First Century Fox Inc.,36.88,Nasdaq Global Select
203,CNC,Centene Corp,59.49,New York Stock Exchange
204,ZION,Zions Bancorporation NA,55.25,Nasdaq Global Select
205,CLDR,Cloudera Inc,13.16,New York Stock Exchange
206,RES,RPC Inc,5.15,New York Stock Exchange
207,CI,Cigna Corp,247.14,New York Stock Exchange
208,KRE,SPDR S&P Regional Banking,68.52,New York Stock Exchange Arca
209,WMB,Williams Companies Inc,24.43,New York Stock Exchange
210,SYNH,Syneos Health Inc,87.25,Nasdaq Global Select
211,HBI,HanesBrands Inc,21.1,New York Stock Exchange
212,XL,XL Group Ltd.,7.12,New York Stock Exchange
213,PAYX,Paychex Inc,97.85,Nasdaq Global Select
214,D,Dominion Energy Inc,77.64,New York Stock Exchange
215,CHS,Chico's FAS Inc,3.03,New York Stock Exchange
216,CFG,Citizens Financial Group Inc,46.18,New York Stock Exchange
217,XLI,SPDR Select Sector Fund - Industrial,101.89,New York Stock Exchange Arca
218,SU,Suncor Energy Inc,21.57,New York Stock Exchange
219,SLV,iShares Silver Trust,24.4,New York Stock Exchange Arca
220,MMM,3M Co,195.93,New York Stock Exchange
221,BIIB,Biogen Inc,267.6,Nasdaq Global Select
222,JBL,Jabil Inc,54.31,New York Stock Exchange
223,ACN,Accenture PLC,290.27,New York Stock Exchange
224,NTR,Nutrien Ltd,56.34,New York Stock Exchange
225,BRFS,BRF S.A.,4.04,New York Stock Exchange
226,SBUX,Starbucks Corp,112.4,Nasdaq Global Select
227,EWU,iShares MSCI United Kingdom,32.8,New York Stock Exchange Arca
228,LVS,Las Vegas Sands Corp,61.74,New York Stock Exchange
229,EGO,Eldorado Gold Corp,10.94,New York Stock Exchange
230,GSK,GlaxoSmithKline PLC,37.7,New York Stock Exchange
231,TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,10.12,New York Stock Exchange
232,PAA,Plains All American Pipeline LP,9.47,New York Stock Exchange
233,SQQQ,ProShares UltraPro Short QQQ,10.81,Nasdaq Global Market
234,VLO,Valero Energy Corp,74.12,New York Stock Exchange
235,IMAX,Imax Corp,22.18,New York Stock Exchange
236,FNB,F.N.B. Corp,13.02,New York Stock Exchange
237,ADSK,Autodesk Inc,299.23,Nasdaq Global Select
238,HD,Home Depot Inc,319.71,New York Stock Exchange
239,BIDU,Baidu Inc,215.83,Nasdaq Global Select
240,AR,Antero Resources Corp,10.17,New York Stock Exchange
241,ARNC,Arconic Corp (PITTSBURGH),29.92,New York Stock Exchange
242,VOYA,Voya Financial Inc,68.15,New York Stock Exchange
243,SPXU,ProShares UltraPro Short S&P500,20.13,New York Stock Exchange Arca
244,MLCO,Melco Resorts & Entertainment Ltd,19.84,Nasdaq Global Select
245,SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond,27.41,New York Stock Exchange Arca
246,CWB,SPDR Bloomberg Barclays Convertible Securities,86.85,New York Stock Exchange Arca
247,SM,SM Energy Co,18.15,New York Stock Exchange
248,NTRS,Northern Trust Corp,111.84,Nasdaq Global Select
249,DHI,D.R. Horton Inc,99.81,New York Stock Exchange
250,UAL,United Airlines Holdings Inc,53.55,Nasdaq Global Select
251,HRB,H & R Block Inc,22.4,New York Stock Exchange
